開催地,URL,参加人数
京都,https://pyconjp.connpass.com/event/33014/,一般参加5人
愛媛,https://pyconjp.connpass.com/event/34564/,一般参加11人、学生1人
熊本,https://pyconjp.connpass.com/event/36773/,一般参加3人、学生5人
札幌,https://pyconjp.connpass.com/event/43134/,一般参加11人、学生6人
栃木小山,https://pyconjp.connpass.com/event/47757/,一般参加9人、学生1人
広島,https://pyconjp.connpass.com/event/50095/,一般参加13人、学生2人
大阪,https://pyconjp.connpass.com/event/52480/,一般参加13人、学生2人
神戸,https://pyconjp.connpass.com/event/55110/,一般参加17人、学生4人
長野,https://pyconjp.connpass.com/event/55693/,一般参加19人、学生8人
香川,https://pyconjp.connpass.com/event/56141/,一般参加12人、学生8人
愛知,https://pyconjp.connpass.com/event/60165/,一般参加32人、学生5人
福岡,https://pyconjp.connpass.com/event/62769/,一般参加29人、学生3人
長野八ヶ岳,https://pyconjp.connpass.com/event/66747/,一般参加14人、学生1人
鹿児島,https://pyconjp.connpass.com/event/67709/,一般参加17人、学生10人
静岡,https://pyconjp.connpass.com/event/67533/,一般参加10人、学生0人
新潟南魚沼,https://pyconjp.connpass.com/event/69431/,一般参加15人、学生6人
埼玉,https://pyconjp.connpass.com/event/69433/,一般参加31人、学生4人
神奈川,https://pyconjp.connpass.com/event/71908/,一般参加11人、学生1人
金沢,https://pyconjp.connpass.com/event/74767/,一般参加24人、学生2人
福島,https://pyconjp.connpass.com/event/75923/,一般参加14人、学生3人
柏の葉,https://pyconjp.connpass.com/event/81251/,一般参加30人、学生7人
岩手,https://pyconjp.connpass.com/event/86461/,一般参加14人、学生13人
茨城,https://pyconjp.connpass.com/event/89445/,一般参加14人、学生21人
徳島,https://pyconjp.connpass.com/event/87968/,一般参加13人、学生2人
京都,https://pyconjp.connpass.com/event/94170/,一般参加15人、学生7人
山形,https://pyconjp.connpass.com/event/89157/,一般参加10人、学生6人
山梨,https://pyconjp.connpass.com/event/103507/,一般参加8人、学生9人
岡山,https://pyconjp.connpass.com/event/103539/,一般参加13人、学生5人
仙台,https://pyconjp.connpass.com/event/104080/,一般参加17人、学生5人
静岡県藤枝市,https://pyconjp.connpass.com/event/106920/,一般参加20人、学生5人
和歌山,https://pyconjp.connpass.com/event/120116/,一般参加15人、学生1人
福井,https://pyconjp.connpass.com/event/119978/,一般参加8人、学生4人
山形市,https://pyconjp.connpass.com/event/130348/,一般参加12人、学生0人
岐阜,https://pyconjp.connpass.com/event/134229/,一般参加17人、学生0人
沖縄,https://pyconjp.connpass.com/event/139247/,一般参加10人、学生1人
高知,https://pyconjp.connpass.com/event/143287/,一般参加14人、学生9人
群馬,https://pyconjp.connpass.com/event/143290/,一般参加5人、学生3人
福岡2nd,https://pyconjp.connpass.com/event/143786/,一般参加13人、学生5人
熊本2nd,https://pyconjp.connpass.com/event/143197/,一般参加15人、学生0人
長崎,https://pyconjp.connpass.com/event/158803/,一般参加15人、学生3人
山口,https://pyconjp.connpass.com/event/205993/,一般参加6人、学生0人
佐賀,https://pyconjp.connpass.com/event/244411/,一般参加10人、学生6人
広島2nd,https://pyconjp.connpass.com/event/248048/,一般参加3人、学生9人
静岡県沼津市,https://pyconjp.connpass.com/event/251468/,一般参加8人、学生3人
新潟2nd,https://pyconjp.connpass.com/event/255600/,一般参加10人、学生5人
香川2nd,https://pyconjp.connpass.com/event/261760/,一般参加9人、学生3人
